site,flux,flux_y0,flux_y1,soil,soil_y0,soil_y1,lat,lon,igbp,n_halfhour,has_soil,grid_idx,grid_dist_km
AU-Wac,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Wac_2006-2008_FLUXNET2015_Flux.nc,2006,2008,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Wac_2005-2008.nc,2005.0,2008.0,-37.42900085449219,145.187255859375,EBF,52608,True,434299,16.2213033673829
AU-Wel,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Wel_2024-2025_FLUXNET2015_Flux.nc,2024,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Wel_2024-2025.nc,2024.0,2025.0,-32.57270050048828,148.9842987060547,GRA,35088,True,414574,17.936750231229013
AU-Whr,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Whr_2012-2025_FLUXNET2015_Flux.nc,2012,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Whr_2011-2025.nc,2011.0,2025.0,-36.67319869995117,145.02940368652344,EBF,245472,True,431058,2.6260785905014634
AU-Wom,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Wom_2011-2025_FLUXNET2015_Flux.nc,2011,2025,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Wom_2010-2025.nc,2010.0,2025.0,-37.42219924926758,144.0944061279297,EBF,262992,True,434295,13.484465651801274
AU-Wrr,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Wrr_2015-2020_FLUXNET2015_Flux.nc,2015,2020,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Wrr_2013-2021.nc,2013.0,2021.0,-43.09502029418945,146.6544952392578,EBF,105216,True,454542,5.360854664212637
AU-Ync,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AU-Ync_2013-2024_FLUXNET2015_Flux.nc,2013,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AU-Ync_2012-2025.nc,2012.0,2025.0,-34.98929977416992,146.2906951904297,GRA,210384,True,424582,3.885911484522643
BE-Bra,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BE-Bra_2000-2023_FLUXNET2015_Flux.nc,2000,2023,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BE-Bra_1999-2024.nc,1999.0,2024.0,51.309165954589844,4.520559787750244,MF,420768,True,60484,4.956719691433842
BE-Dor,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BE-Dor_2011-2024_FLUXNET2015_Flux.nc,2011,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BE-Dor_2011-2024.nc,2011.0,2024.0,50.311710357666016,4.9683098793029785,CRO,245472,True,63077,14.984334980722931
BE-Lcr,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BE-Lcr_2019-2022_FLUXNET2015_Flux.nc,2019,2022,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BE-Lcr_2019-2022.nc,2019.0,2022.0,51.099998474121094,3.8499999046325684,CRO,70128,True,61346,12.481219290430632
BE-Lon,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/BE-Lon_2005-2024_FLUXNET2015_Flux.nc,2005,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_BE-Lon_2004-2024.nc,2004.0,2024.0,50.55158996582031,4.746129989624023,CRO,350640,True,63076,16.529221610993336
